fileslug,date,stars,treated,boughtstars,treated2,_merge
0riion_py-sls-lambda-toolkit,2023-05-09,0,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-10,0,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-11,0,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-12,0,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-13,25,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-14,45,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-15,49,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-16,55,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-17,65,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-18,66,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-19,67,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-20,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-21,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-22,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-23,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-24,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-25,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-26,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-27,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-28,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-29,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-30,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-05-31,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-01,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-02,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-03,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-04,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-05,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-06,69,1,1,2,both
0riion_py-sls-lambda-toolkit,2023-06-07,69,1,1,2,both
0x9900_sonde2kml,2023-05-09,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-10,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-11,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-12,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-13,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-14,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-15,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-16,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-17,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-18,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-19,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-20,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-21,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-22,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-23,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-24,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-25,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-26,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-27,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-28,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-29,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-30,1,0,0,0,left_only
0x9900_sonde2kml,2023-05-31,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-01,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-02,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-03,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-04,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-05,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-06,1,0,0,0,left_only
0x9900_sonde2kml,2023-06-07,1,0,0,0,left_only
1azybug_chinese-webtext-spider,2023-05-09,0,0,0,0,left_only
1azybug_chinese-webtext-spider,2023-05-10,0,0,0,0,left_only
1azybug_chinese-webtext-spider,2023-05-11,0,0,0,0,left_only
1azybug_chinese-webtext-spider,2023-05-12,0,0,0,0,left_only
