pkg,date,download_count,tt_downloads,treated,boughtstars,treated2,_merge
aa-simplewiki,2023-05-12,14,97,0,0,0,left_only
aa-simplewiki,2023-05-13,8,105,0,0,0,left_only
aa-simplewiki,2023-05-14,5,110,0,0,0,left_only
aa-simplewiki,2023-05-15,1,111,0,0,0,left_only
aa-simplewiki,2023-05-16,2,113,0,0,0,left_only
aa-simplewiki,2023-05-17,3,116,0,0,0,left_only
aa-simplewiki,2023-05-18,1,117,0,0,0,left_only
aa-simplewiki,2023-05-19,0,117,0,0,0,left_only
aa-simplewiki,2023-05-20,0,117,0,0,0,left_only
aa-simplewiki,2023-05-21,1,118,0,0,0,left_only
aa-simplewiki,2023-05-22,2,120,0,0,0,left_only
aa-simplewiki,2023-05-23,2,122,0,0,0,left_only
aa-simplewiki,2023-05-24,2,124,0,0,0,left_only
aa-simplewiki,2023-05-25,2,126,0,0,0,left_only
aa-simplewiki,2023-05-26,2,128,0,0,0,left_only
aa-simplewiki,2023-05-27,3,131,0,0,0,left_only
aa-simplewiki,2023-05-28,2,133,0,0,0,left_only
aa-simplewiki,2023-05-29,1,134,0,0,0,left_only
aa-simplewiki,2023-05-30,3,137,0,0,0,left_only
aa-simplewiki,2023-05-31,3,140,0,0,0,left_only
aa-simplewiki,2023-06-01,1,141,0,0,0,left_only
aa-simplewiki,2023-06-02,1,142,0,0,0,left_only
aa-simplewiki,2023-06-03,0,142,0,0,0,left_only
aa-simplewiki,2023-06-04,0,142,0,0,0,left_only
aa-simplewiki,2023-06-05,0,142,0,0,0,left_only
aa-simplewiki,2023-06-06,0,142,0,0,0,left_only
aa-simplewiki,2023-06-07,0,142,0,0,0,left_only
aa-simplewiki,2023-06-08,0,142,0,0,0,left_only
aa-simplewiki,2023-06-09,0,142,0,0,0,left_only
aa-simplewiki,2023-06-10,1,143,0,0,0,left_only
aacommpy,2023-04-25,12,12,1,0,1,both
aacommpy,2023-04-26,4,16,1,0,1,both
aacommpy,2023-04-27,3,19,1,0,1,both
aacommpy,2023-04-28,0,19,1,0,1,both
aacommpy,2023-04-29,0,19,1,0,1,both
aacommpy,2023-04-30,0,19,1,0,1,both
aacommpy,2023-05-01,7,26,1,0,1,both
aacommpy,2023-05-02,7,33,1,0,1,both
aacommpy,2023-05-03,0,33,1,0,1,both
aacommpy,2023-05-04,0,33,1,0,1,both
aacommpy,2023-05-05,0,33,1,0,1,both
aacommpy,2023-05-06,0,33,1,0,1,both
aacommpy,2023-05-07,0,33,1,0,1,both
aacommpy,2023-05-08,0,33,1,0,1,both
aacommpy,2023-05-09,0,33,1,0,1,both
aacommpy,2023-05-10,1,34,1,0,1,both
aacommpy,2023-05-11,11,45,1,0,1,both
aacommpy,2023-05-12,18,63,1,0,1,both
aacommpy,2023-05-13,8,71,1,0,1,both
aacommpy,2023-05-14,1,72,1,0,1,both
aacommpy,2023-05-15,1,73,1,0,1,both
aacommpy,2023-05-16,0,73,1,0,1,both
aacommpy,2023-05-17,2,75,1,0,1,both
aacommpy,2023-05-18,2,77,1,0,1,both
aacommpy,2023-05-19,0,77,1,0,1,both
aacommpy,2023-05-20,0,77,1,0,1,both
aacommpy,2023-05-21,0,77,1,0,1,both
aacommpy,2023-05-22,0,77,1,0,1,both
aacommpy,2023-05-23,0,77,1,0,1,both
aacommpy,2023-05-24,5,82,1,0,1,both
aacommpy,2023-05-25,5,87,1,0,1,both
aacommpy,2023-05-26,0,87,1,0,1,both
aacommpy,2023-05-27,1,88,1,0,1,both
aacommpy,2023-05-28,4,92,1,0,1,both
aacommpy,2023-05-29,3,95,1,0,1,both
aacommpy,2023-05-30,2,97,1,0,1,both
aacommpy,2023-05-31,0,97,1,0,1,both
aacommpy,2023-06-01,0,97,1,0,1,both
aacommpy,2023-06-02,0,97,1,0,1,both
aacommpy,2023-06-03,0,97,1,0,1,both
aacommpy,2023-06-04,0,97,1,0,1,both
aacommpy,2023-06-05,0,97,1,0,1,both
aacommpy,2023-06-06,0,97,1,0,1,both
aacommpy,2023-06-07,0,97,1,0,1,both
aacommpy,2023-06-08,0,97,1,0,1,both
aacommpy,2023-06-09,0,97,1,0,1,both
aacommpy,2023-06-10,0,97,1,0,1,both
aamaze,2023-04-25,9,9,0,0,0,left_only
aamaze,2023-04-26,0,9,0,0,0,left_only
aamaze,2023-04-27,0,9,0,0,0,left_only
aamaze,2023-04-28,0,9,0,0,0,left_only
aamaze,2023-04-29,0,9,0,0,0,left_only
aamaze,2023-04-30,0,9,0,0,0,left_only
aamaze,2023-05-01,0,9,0,0,0,left_only
aamaze,2023-05-02,0,9,0,0,0,left_only
aamaze,2023-05-03,0,9,0,0,0,left_only
aamaze,2023-05-04,1,10,0,0,0,left_only
aamaze,2023-05-05,1,11,0,0,0,left_only
aamaze,2023-05-06,0,11,0,0,0,left_only
aamaze,2023-05-07,0,11,0,0,0,left_only
aamaze,2023-05-08,0,11,0,0,0,left_only
aamaze,2023-05-09,0,11,0,0,0,left_only
aamaze,2023-05-10,0,11,0,0,0,left_only
aamaze,2023-05-11,1,12,0,0,0,left_only
aamaze,2023-05-12,4,16,0,0,0,left_only
aamaze,2023-05-13,3,19,0,0,0,left_only
aamaze,2023-05-14,0,19,0,0,0,left_only
aamaze,2023-05-15,0,19,0,0,0,left_only
aamaze,2023-05-16,0,19,0,0,0,left_only
aamaze,2023-05-17,0,19,0,0,0,left_only
aamaze,2023-05-18,0,19,0,0,0,left_only
aamaze,2023-05-19,0,19,0,0,0,left_only
aamaze,2023-05-20,0,19,0,0,0,left_only
aamaze,2023-05-21,0,19,0,0,0,left_only
aamaze,2023-05-22,0,19,0,0,0,left_only
aamaze,2023-05-23,0,19,0,0,0,left_only
aamaze,2023-05-24,0,19,0,0,0,left_only
aamaze,2023-05-25,0,19,0,0,0,left_only
aamaze,2023-05-26,0,19,0,0,0,left_only
aamaze,2023-05-27,2,21,0,0,0,left_only
aamaze,2023-05-28,2,23,0,0,0,left_only
aamaze,2023-05-29,0,23,0,0,0,left_only
aamaze,2023-05-30,1,24,0,0,0,left_only
aamaze,2023-05-31,0,24,0,0,0,left_only
aamaze,2023-06-01,0,24,0,0,0,left_only
aamaze,2023-06-02,0,24,0,0,0,left_only
aamaze,2023-06-03,0,24,0,0,0,left_only
aamaze,2023-06-04,0,24,0,0,0,left_only
aamaze,2023-06-05,0,24,0,0,0,left_only
aamaze,2023-06-06,0,24,0,0,0,left_only
aamaze,2023-06-07,0,24,0,0,0,left_only
aamaze,2023-06-08,0,24,0,0,0,left_only
aamaze,2023-06-09,0,24,0,0,0,left_only
aamaze,2023-06-10,0,24,0,0,0,left_only
acmen,2023-04-25,9,9,0,0,0,left_only
acmen,2023-04-26,12,21,0,0,0,left_only
acmen,2023-04-27,3,24,0,0,0,left_only
acmen,2023-04-28,0,24,0,0,0,left_only
acmen,2023-04-29,0,24,0,0,0,left_only
acmen,2023-04-30,0,24,0,0,0,left_only
acmen,2023-05-01,0,24,0,0,0,left_only
acmen,2023-05-02,0,24,0,0,0,left_only
acmen,2023-05-03,0,24,0,0,0,left_only
acmen,2023-05-04,0,24,0,0,0,left_only
acmen,2023-05-05,1,25,0,0,0,left_only
acmen,2023-05-06,1,26,0,0,0,left_only
acmen,2023-05-07,0,26,0,0,0,left_only
acmen,2023-05-08,0,26,0,0,0,left_only
acmen,2023-05-09,0,26,0,0,0,left_only
acmen,2023-05-10,0,26,0,0,0,left_only
acmen,2023-05-11,1,27,0,0,0,left_only
acmen,2023-05-12,2,29,0,0,0,left_only
acmen,2023-05-13,1,30,0,0,0,left_only
acmen,2023-05-14,0,30,0,0,0,left_only
acmen,2023-05-15,0,30,0,0,0,left_only
acmen,2023-05-16,0,30,0,0,0,left_only
acmen,2023-05-17,1,31,0,0,0,left_only
acmen,2023-05-18,1,32,0,0,0,left_only
acmen,2023-05-19,0,32,0,0,0,left_only
acmen,2023-05-20,1,33,0,0,0,left_only
acmen,2023-05-21,1,34,0,0,0,left_only
acmen,2023-05-22,0,34,0,0,0,left_only
acmen,2023-05-23,0,34,0,0,0,left_only
acmen,2023-05-24,0,34,0,0,0,left_only
acmen,2023-05-25,0,34,0,0,0,left_only
acmen,2023-05-26,0,34,0,0,0,left_only
acmen,2023-05-27,0,34,0,0,0,left_only
acmen,2023-05-28,1,35,0,0,0,left_only
acmen,2023-05-29,1,36,0,0,0,left_only
acmen,2023-05-30,2,38,0,0,0,left_only
acmen,2023-05-31,0,38,0,0,0,left_only
acmen,2023-06-01,0,38,0,0,0,left_only
acmen,2023-06-02,0,38,0,0,0,left_only
acmen,2023-06-03,0,38,0,0,0,left_only
acmen,2023-06-04,0,38,0,0,0,left_only
acmen,2023-06-05,0,38,0,0,0,left_only
acmen,2023-06-06,0,38,0,0,0,left_only
acmen,2023-06-07,0,38,0,0,0,left_only
acmen,2023-06-08,0,38,0,0,0,left_only
acmen,2023-06-09,0,38,0,0,0,left_only
acmen,2023-06-10,0,38,0,0,0,left_only
acnawebcli,2023-04-25,0,0,0,0,0,left_only
acnawebcli,2023-04-26,0,0,0,0,0,left_only
acnawebcli,2023-04-27,9,9,0,0,0,left_only
acnawebcli,2023-04-28,11,20,0,0,0,left_only
