pkg,date,download_count,tt_downloads,treated,boughtstars,treated2,_merge
aamaze,2023-04-24,9,9,0,0,0,left_only
aamaze,2023-04-25,0,9,0,0,0,left_only
aamaze,2023-04-26,0,9,0,0,0,left_only
aamaze,2023-04-27,0,9,0,0,0,left_only
aamaze,2023-04-28,0,9,0,0,0,left_only
aamaze,2023-04-29,0,9,0,0,0,left_only
aamaze,2023-04-30,0,9,0,0,0,left_only
aamaze,2023-05-01,0,9,0,0,0,left_only
aamaze,2023-05-02,0,9,0,0,0,left_only
aamaze,2023-05-03,1,10,0,0,0,left_only
aamaze,2023-05-04,1,11,0,0,0,left_only
aamaze,2023-05-05,0,11,0,0,0,left_only
aamaze,2023-05-06,0,11,0,0,0,left_only
aamaze,2023-05-07,0,11,0,0,0,left_only
aamaze,2023-05-08,0,11,0,0,0,left_only
aamaze,2023-05-09,0,11,0,0,0,left_only
aamaze,2023-05-10,1,12,0,0,0,left_only
aamaze,2023-05-11,4,16,0,0,0,left_only
aamaze,2023-05-12,3,19,0,0,0,left_only
aamaze,2023-05-13,0,19,0,0,0,left_only
aamaze,2023-05-14,0,19,0,0,0,left_only
aamaze,2023-05-15,0,19,0,0,0,left_only
aamaze,2023-05-16,0,19,0,0,0,left_only
aamaze,2023-05-17,0,19,0,0,0,left_only
aamaze,2023-05-18,0,19,0,0,0,left_only
aamaze,2023-05-19,0,19,0,0,0,left_only
aamaze,2023-05-20,0,19,0,0,0,left_only
aamaze,2023-05-21,0,19,0,0,0,left_only
aamaze,2023-05-22,0,19,0,0,0,left_only
aamaze,2023-05-23,0,19,0,0,0,left_only
aamaze,2023-05-24,0,19,0,0,0,left_only
aamaze,2023-05-25,0,19,0,0,0,left_only
aamaze,2023-05-26,2,21,0,0,0,left_only
aamaze,2023-05-27,2,23,0,0,0,left_only
acs-axiom,2023-04-24,0,0,0,0,0,left_only
acs-axiom,2023-04-25,0,0,0,0,0,left_only
acs-axiom,2023-04-26,0,0,0,0,0,left_only
acs-axiom,2023-04-27,0,0,0,0,0,left_only
acs-axiom,2023-04-28,1,1,0,0,0,left_only
acs-axiom,2023-04-29,1,2,0,0,0,left_only
acs-axiom,2023-04-30,0,2,0,0,0,left_only
acs-axiom,2023-05-01,0,2,0,0,0,left_only
acs-axiom,2023-05-02,0,2,0,0,0,left_only
acs-axiom,2023-05-03,0,2,0,0,0,left_only
acs-axiom,2023-05-04,0,2,0,0,0,left_only
acs-axiom,2023-05-05,0,2,0,0,0,left_only
acs-axiom,2023-05-06,0,2,0,0,0,left_only
acs-axiom,2023-05-07,0,2,0,0,0,left_only
acs-axiom,2023-05-08,0,2,0,0,0,left_only
acs-axiom,2023-05-09,0,2,0,0,0,left_only
acs-axiom,2023-05-10,1,3,0,0,0,left_only
acs-axiom,2023-05-11,1,4,0,0,0,left_only
acs-axiom,2023-05-12,0,4,0,0,0,left_only
acs-axiom,2023-05-13,0,4,0,0,0,left_only
acs-axiom,2023-05-14,0,4,0,0,0,left_only
acs-axiom,2023-05-15,0,4,0,0,0,left_only
acs-axiom,2023-05-16,0,4,0,0,0,left_only
acs-axiom,2023-05-17,0,4,0,0,0,left_only
acs-axiom,2023-05-18,0,4,0,0,0,left_only
acs-axiom,2023-05-19,3,7,0,0,0,left_only
acs-axiom,2023-05-20,3,10,0,0,0,left_only
acs-axiom,2023-05-21,0,10,0,0,0,left_only
acs-axiom,2023-05-22,0,10,0,0,0,left_only
acs-axiom,2023-05-23,0,10,0,0,0,left_only
acs-axiom,2023-05-24,0,10,0,0,0,left_only
acs-axiom,2023-05-25,0,10,0,0,0,left_only
acs-axiom,2023-05-26,0,10,0,0,0,left_only
acs-axiom,2023-05-27,0,10,0,0,0,left_only
aeropython,2023-04-24,16,16,0,0,0,left_only
aeropython,2023-04-25,8,24,0,0,0,left_only
aeropython,2023-04-26,2,26,0,0,0,left_only
aeropython,2023-04-27,0,26,0,0,0,left_only
aeropython,2023-04-28,0,26,0,0,0,left_only
aeropython,2023-04-29,0,26,0,0,0,left_only
aeropython,2023-04-30,0,26,0,0,0,left_only
aeropython,2023-05-01,0,26,0,0,0,left_only
aeropython,2023-05-02,0,26,0,0,0,left_only
aeropython,2023-05-03,0,26,0,0,0,left_only
