pkg,earliest_release,github,no_readme,not_new
vaspgibbs,2023-04-28T01:39:31,https://github.com/ftherrien/VaspGibbs,0,0
stitchtoon,2023-04-29T05:04:36,https://github.com/BishrGhalil/stitchtoon,0,0
dbt-odps,2023-04-24T04:36:29,https://github.com/ai-excelsior/F2AI,0,0
text-box-wrapper,2023-04-23T17:31:05,https://github.com/Hootrix/text-box-wrapper,0,0
porkbun-ddns,2023-04-23T10:41:40,https://github.com/mietzen/porkbun-ddns,0,0
odoo-addon-stock-move-line-reserved-quant,2023-04-28T13:09:43,https://github.com/OCA/stock-logistics-workflow,0,0
lidar-visualizer,2023-04-27T08:15:41,https://github.com/PRBonn/lidar-visualizer,0,0
dfm-tools,2023-04-23T21:20:03,https://github.com/Deltares/dfm_tools,0,0
vbao-mvvm,2023-04-24T11:17:33,https://github.com/Meidozuki/VBAO,0,0
scarlet-shark-python,2023-04-28T12:03:09,https://github.com/PiRogueToolSuite/scarlet-shark-python,0,0
ditchcarbon-python,2023-04-23T22:25:23,https://github.com/ditchthis/ditchcarbon-python,0,0
tpot2,2023-04-27T23:14:52,https://github.com/EpistasisLab/tpot2,0,0
odoo-addon-stock-location-position,2023-04-25T08:51:30,https://github.com/OCA/stock-logistics-warehouse,0,0
perspective-parquet,2023-04-28T18:32:13,https://github.com/timkpaine/perspective-parquet,0,0
call-args,2023-04-26T18:48:41,https://github.com/vsego/call-args,0,0
allianceauth-site-claim,2023-04-29T03:16:18,https://github.com/Solar-Helix-Independent-Transport/allianceauth-site-claim,0,0
apple-store-scraper,2023-04-24T05:24:52,https://github.com/hiyali/apple-store-scraper,0,0
pollstats,2023-04-27T09:56:41,https://github.com/Vijayanand-debug/pollstats,0,0
mountaintop,2023-04-27T12:14:56,https://github.com/yinanxu0/mountaintop,0,0
tpfi,2023-04-28T03:35:31,https://github.com/keyuxing/tpfi,0,0
