pkg,return_code,github_url,homepage,earliest_release,gh_url_check,github
nvidia-dali-nightly-cuda102,200.0,https://github.com/NVIDIA,https://github.com/NVIDIA,2023-04-28T20:40:32,0.0,
up-purple,200.0,,https://www.black-sat.org,2023-04-26T16:15:54,0.0,
common-cols-project,200.0,https://github.com/ElenaGarciaManes?tab=repositories,https://github.com/ElenaGarciaManes?tab=repositories,2023-04-27T13:53:00,0.0,
tello-controller,200.0,https://github.com/Jen1sS/Tellp/tree/release,,2023-04-26T15:04:15,0.0,
easqlite,200.0,https://github.com/absperf/easqlite,,2023-04-27T16:23:56,,
colorfultxt,200.0,https://github.com/pypa/sampleproject,https://github.com/pypa/sampleproject,2023-04-24T22:02:23,1.0,https://github.com/pypa/sampleproject
mountaintop,200.0,https://github.com/yinanxu0/mountaintop,https://github.com/yinanxu0/mountaintop,2023-04-27T12:14:56,,
polygone-nms,200.0,https://github.com/WolodjaZ/polygone-nms,https://github.com/WolodjaZ/polygone-nms,2023-04-28T10:52:44,,
pychas,200.0,https://github.com/sponsors/EinKara/,https://notokay.dev/,2023-04-26T15:49:12,0.0,
ovos-tts-plugin-piper,200.0,https://github.com/OpenVoiceOS/ovos-tts-plugin-piper,https://github.com/OpenVoiceOS/ovos-tts-plugin-piper,2023-04-29T18:48:13,1.0,https://github.com/OpenVoiceOS/ovos-tts-plugin-piper
odoo14-addon-product-fao-fishing,200.0,https://github.com/OCA/community-data-files,https://github.com/OCA/community-data-files,2023-04-27T08:13:39,1.0,https://github.com/OCA/community-data-files
nope-py,200.0,https://github.com/ZeMA-gGmbH/NoPE-PY.git,https://github.com/ZeMA-gGmbH/NoPE-PY.git,2023-04-25T07:27:20,,
ucsdasone,200.0,https://github.com/JacobLee23/UCSDASOne,,2023-04-26T03:39:24,,
text-box-wrapper,200.0,https://github.com/Hootrix/text-box-wrapper,https://github.com/Hootrix/text-box-wrapper,2023-04-23T17:31:05,1.0,https://github.com/Hootrix/text-box-wrapper
readable-number,200.0,https://github.com/jsh9/readable-number,https://github.com/jsh9/readable-number,2023-04-28T06:44:02,1.0,https://github.com/jsh9/readable-number
sortinghat-openinfra,200.0,https://github.com/bitergia-analytics/sortinghat-openinfra,https://chaoss.github.io/grimoirelab/,2023-04-24T16:34:44,1.0,https://github.com/bitergia-analytics/sortinghat-openinfra
jurebes,200.0,https://github.com/OpenVoiceOS/jurebes,https://github.com/OpenVoiceOS/jurebes,2023-04-24T05:26:47,1.0,https://github.com/OpenVoiceOS/jurebes
inspectds,200.0,https://github.com/pmav99/inspectds.git,https://github.com/pmav99/inspectds.git,2023-04-26T06:38:31,,
pytest-suitemanager,200.0,https://github.com/mf.liang/pytest-suitemanager,https://github.com/mf.liang/pytest-suitemanager,2023-04-28T07:00:38,,
keypact,200.0,https://github.com/onuratakan/KeyPact,https://github.com/onuratakan/KeyPact,2023-04-23T16:51:16,,
rolfsen,200.0,,https://www.linkedin.com/in/jamesrolfsen/,2023-04-29T07:55:53,0.0,
mindformers,200.0,,https://www.mindspore.cn,2023-04-24T12:18:38,0.0,
newsopen-easy,200.0,https://github.com/yourusername/your-package,https://github.com/yourusername/your-package,2023-04-27T08:43:50,,
ovos-classifiers,200.0,https://github.com/OpenVoiceOS/ovos-classifiers,https://github.com/OpenVoiceOS/ovos-classifiers,2023-04-24T05:23:14,1.0,https://github.com/OpenVoiceOS/ovos-classifiers
livesolid,200.0,https://github.com/pyscaffold/pyscaffold/,https://github.com/pyscaffold/pyscaffold/,2023-04-28T14:32:54,0.0,
amdirt,200.0,https://github.com/SPAAM-community/AMDirT,https://github.com/SPAAM-community/AMDirT,2023-04-28T14:37:55,1.0,https://github.com/SPAAM-community/AMDirT
langforge-ai,200.0,https://github.com/mme/langforge,https://github.com/mme/langforge,2023-04-25T11:49:06,1.0,https://github.com/mme/langforge
fitransit,200.0,https://github.com/troyzx/fitransit,https://github.com/troyzx/fitransit,2023-04-25T08:10:51,1.0,https://github.com/troyzx/fitransit
ocrd-network,200.0,https://github.com/OCR-D/core,https://github.com/OCR-D/core,2023-04-24T11:40:09,1.0,https://github.com/OCR-D/core
audiconnectpy,200.0,https://github.com/cyr-ius/audiconnectpy/tree/master/audiconnectpy,https://github.com/cyr-ius/audiconnectpy/tree/master/audiconnectpy,2023-04-23T12:02:50,0.0,
dreamai-pdf,200.0,https://github.com/HamzaFarhan/dreamai_pdf,https://github.com/HamzaFarhan/dreamai_pdf,2023-04-28T14:57:19,1.0,https://github.com/HamzaFarhan/dreamai_pdf
graphdisplay,200.0,https://github.com/seniorbeto,https://github.com/seniorbeto,2023-04-24T14:46:00,0.0,
