pkg,return_code,github_url,homepage,earliest_release,gh_url_check,github,pypi,label,no readme,not new
lidar-visualizer,200,https://github.com/PRBonn/lidar-visualizer,,2023-04-27T08:15:41,1,https://github.com/PRBonn/lidar-visualizer,https://pypi.org/project/lidar-visualizer/#history,"lidar-visualizer
https://github.com/PRBonn/lidar-visualizer
https://pypi.org/project/lidar-visualizer/#history",,
dfm-tools,200,https://github.com/Deltares/dfm_tools,https://github.com/Deltares/dfm_tools,2023-04-23T21:20:03,1,https://github.com/Deltares/dfm_tools,https://pypi.org/project/dfm-tools/#history,"dfm-tools
https://github.com/Deltares/dfm_tools
https://pypi.org/project/dfm-tools/#history",,
vbao-mvvm,200,https://github.com/Meidozuki/VBAO,,2023-04-24T11:17:33,1,https://github.com/Meidozuki/VBAO,https://pypi.org/project/vbao-mvvm/#history,"vbao-mvvm
https://github.com/Meidozuki/VBAO
https://pypi.org/project/vbao-mvvm/#history",,
scarlet-shark-python,200,https://github.com/PiRogueToolSuite/scarlet-shark-python,https://github.com/PiRogueToolSuite/scarlet-shark-python,2023-04-28T12:03:09,1,https://github.com/PiRogueToolSuite/scarlet-shark-python,https://pypi.org/project/scarlet-shark-python/#history,"scarlet-shark-python
https://github.com/PiRogueToolSuite/scarlet-shark-python
https://pypi.org/project/scarlet-shark-python/#history",,
adversary-armor,200,https://github.com/haim-fisher-s/Adversary-Armor,https://github.com/haim-fisher-s/Adversary-Armor,2023-04-26T05:44:37,1,https://github.com/haim-fisher-s/Adversary-Armor,https://pypi.org/project/adversary-armor/#history,"adversary-armor
https://github.com/haim-fisher-s/Adversary-Armor
https://pypi.org/project/adversary-armor/#history",1,
ditchcarbon-python,200,https://github.com/ditchthis/ditchcarbon-python,,2023-04-23T22:25:23,1,https://github.com/ditchthis/ditchcarbon-python,https://pypi.org/project/ditchcarbon-python/#history,"ditchcarbon-python
https://github.com/ditchthis/ditchcarbon-python
https://pypi.org/project/ditchcarbon-python/#history",,
tpot2,200,https://github.com/EpistasisLab/tpot2,https://github.com/EpistasisLab/tpot2,2023-04-27T23:14:52,1,https://github.com/EpistasisLab/tpot2,https://pypi.org/project/tpot2/#history,"tpot2
https://github.com/EpistasisLab/tpot2
https://pypi.org/project/tpot2/#history",,
odoo-addon-stock-location-position,200,https://github.com/OCA/stock-logistics-warehouse,https://github.com/OCA/stock-logistics-warehouse,2023-04-25T08:51:30,1,https://github.com/OCA/stock-logistics-warehouse,https://pypi.org/project/odoo-addon-stock-location-position/#history,"odoo-addon-stock-location-position
https://github.com/OCA/stock-logistics-warehouse
https://pypi.org/project/odoo-addon-stock-location-position/#history",,
perspective-parquet,200,https://github.com/timkpaine/perspective-parquet,,2023-04-28T18:32:13,1,https://github.com/timkpaine/perspective-parquet,https://pypi.org/project/perspective-parquet/#history,"perspective-parquet
https://github.com/timkpaine/perspective-parquet
https://pypi.org/project/perspective-parquet/#history",,
call-args,200,https://github.com/vsego/call-args,,2023-04-26T18:48:41,1,https://github.com/vsego/call-args,https://pypi.org/project/call-args/#history,"call-args
https://github.com/vsego/call-args
https://pypi.org/project/call-args/#history",,
allianceauth-site-claim,200,https://github.com/Solar-Helix-Independent-Transport/allianceauth-site-claim,https://github.com/Solar-Helix-Independent-Transport/allianceauth-site-claim,2023-04-29T03:16:18,1,https://github.com/Solar-Helix-Independent-Transport/allianceauth-site-claim,https://pypi.org/project/allianceauth-site-claim/#history,"allianceauth-site-claim
https://github.com/Solar-Helix-Independent-Transport/allianceauth-site-claim
https://pypi.org/project/allianceauth-site-claim/#history",,
apple-store-scraper,200,https://github.com/hiyali/apple-store-scraper,https://github.com/hiyali/apple-store-scraper,2023-04-24T05:24:52,1,https://github.com/hiyali/apple-store-scraper,https://pypi.org/project/apple-store-scraper/#history,"apple-store-scraper
https://github.com/hiyali/apple-store-scraper
https://pypi.org/project/apple-store-scraper/#history",,
pollstats,200,https://github.com/Vijayanand-debug/pollstats,https://github.com/Vijayanand-debug/pollstats,2023-04-27T09:56:41,1,https://github.com/Vijayanand-debug/pollstats,https://pypi.org/project/pollstats/#history,"pollstats
https://github.com/Vijayanand-debug/pollstats
https://pypi.org/project/pollstats/#history",,
mountaintop,200,https://github.com/yinanxu0/mountaintop,https://github.com/yinanxu0/mountaintop,2023-04-27T12:14:56,1,https://github.com/yinanxu0/mountaintop,https://pypi.org/project/mountaintop/#history,"mountaintop
https://github.com/yinanxu0/mountaintop
https://pypi.org/project/mountaintop/#history",,
tpfi,200,https://github.com/keyuxing/tpfi,https://github.com/keyuxing/tpfi,2023-04-28T03:35:31,1,https://github.com/keyuxing/tpfi,https://pypi.org/project/tpfi/#history,"tpfi
https://github.com/keyuxing/tpfi
https://pypi.org/project/tpfi/#history",,
